"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Oostoever Sloterplas";"       5"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Emanuel van Meterenbuurt";"      16"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Jacob Geelbuurt";"      71"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Lucas/Andreasziekenhuis e.o.";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Overtoomse Veld-Noord";"      31"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Rembrandtpark-Noord";"      23"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Overtoomse Veld-Zuid";"      32"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Rembrandtpark-Zuid";"      15"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Johan Jongkindbuurt";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Louis Crispijnbuurt";"      23"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Jacques Veltmanbuurt";"      42"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Medisch Centrum Slotervaart";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Staalmanbuurt";"      23"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Schipluidenbuurt";"      13"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Koningin Wilhelminaplein";"      41"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Andreasterrein";"      26"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Delflandpleinbuurt-West";"      72"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Delflandpleinbuurt-Oost";"      18"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Riekerhaven";"      20"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Dorp Sloten";"       6"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nieuw-Sloten-Noordwest";"       9"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nieuw-Sloten-Noordoost";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nieuw-Sloten-Zuidwest";"       4"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Belgiëplein e.o.";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nieuw-Sloten-Zuidoost";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sloterweg e.o.";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Park Haagseweg";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Riekerpolder";"       8"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nieuwe Meer";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westlandgrachtbuurt";"      60"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Surinamepleinbuurt";"      34"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Legmeerpleinbuurt";"      30"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Aalsmeerwegbuurt-West";"      36"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Aalsmeerwegbuurt-Oost";"      34"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bedrijventerrein Schinkel";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Schinkelbuurt-Noord";"      31"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Schinkelbuurt-Zuid";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Vondelpark-West";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Willemsparkbuurt-Noord";"      40"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Valeriusbuurt-West";"      35"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Valeriusbuurt-Oost";"      46"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Vondelpark-Oost";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Cornelis Schuytbuurt";"      72"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Concertgebouwbuurt";"      43"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"P.C. Hooftbuurt";"      23"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Museumplein";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Banpleinbuurt";"      25"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Hondecoeterbuurt";"      36"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Johannes Vermeerbuurt";"      46"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Duivelseiland";"      24"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Harmoniehofbuurt";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Frans Halsbuurt";"      61"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Gerard Doubuurt";"      61"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Hercules Seghersbuurt";"      48"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Sarphatiparkbuurt";"     130"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Hemonybuurt";"      49"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Cornelis Troostbuurt";"      69"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Lizzy Ansinghbuurt";"      56"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Van der Helstpleinbuurt";"      77"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Willibrordusbuurt";"      45"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"BurgemeesterTellegenbuurt-West";"      27"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Burgemeester Tellegenbuurt-Oost";"      42"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Diamantbuurt";"      27"
